run,variant,frequency,solution,generation,fitness
0,A,0.05,0,0,0.9330172514597374
0,A,0.05,0,1,1.054252097886855
0,A,0.05,0,2,1.17786229785454
0,A,0.05,0,3,0.1338559396375545
0,A,0.05,0,4,1.268053685842621
0,A,0.05,0,5,1.6194353198225788
0,A,0.05,0,6,0.5411665143423736
0,A,0.05,0,7,0.9544747648486361
0,A,0.05,0,8,1.1755085439679753
0,A,0.05,0,9,1.3729178469000813
0,A,0.05,1,0,0.5627422013863261
0,A,0.05,1,1,0.2770951973486015
0,A,0.05,1,2,0.024020485402630555
0,A,0.05,1,3,0.6644037518332462
0,A,0.05,1,4,0.11325597553675533
0,A,0.05,1,5,0.13528638074709673
0,A,0.05,1,6,0.7866082984472088
0,A,0.05,1,7,-0.20294022702445863
0,A,0.05,1,8,0.047210474566032
0,A,0.05,1,9,0.10214184825014562
0,A,0.05,2,0,2.5579740768361314
0,A,0.05,2,1,2.7487572693523523
0,A,0.05,2,2,2.9272060318269606
0,A,0.05,2,3,1.971563613587364
0,A,0.05,2,4,2.02327592938853
0,A,0.05,2,5,2.3659235283271607
0,A,0.05,2,6,2.7543153103602735
0,A,0.05,2,7,2.5266648212866456
0,A,0.05,2,8,2.604224702525542
0,A,0.05,2,9,2.2572884059617917
0,A,0.05,3,0,-1.1350033814905556
0,A,0.05,3,1,-1.223534381597813
0,A,0.05,3,2,-1.3742521952197204
0,A,0.05,3,3,-2.8718848285562086
0,A,0.05,3,4,-1.3607320576445865
0,A,0.05,3,5,-1.322898114701593
0,A,0.05,3,6,-1.2432981202453564
0,A,0.05,3,7,-1.1603429698819956
0,A,0.05,3,8,-1.0369859767258667
0,A,0.05,3,9,-1.7046447122103372
0,A,0.05,4,0,-0.967247047953758
0,A,0.05,4,1,-0.7964434407739057
0,A,0.05,4,2,-0.6872860196793318
0,A,0.05,4,3,-0.9897915618226822
0,A,0.05,4,4,-0.6312555392071845
0,A,0.05,4,5,-0.6044055752318045
0,A,0.05,4,6,-1.0999785799973658
0,A,0.05,4,7,-0.7864121692974352
0,A,0.05,4,8,-0.9082090516945169
0,A,0.05,4,9,-1.0646210142134804
0,A,0.05,5,0,0.6808122543403583
0,A,0.05,5,1,-0.3337347570938005
0,A,0.05,5,2,0.3727839093098464
0,A,0.05,5,3,0.7601606809538675
0,A,0.05,5,4,0.41289996246549443
0,A,0.05,5,5,-0.14933017669135198
0,A,0.05,5,6,0.436190900590643
0,A,0.05,5,7,0.4553512283506571
0,A,0.05,5,8,0.10069921770390092
0,A,0.05,5,9,0.535648265574898
0,A,0.05,6,0,0.884776687846372
0,A,0.05,6,1,1.9241209351217994
0,A,0.05,6,2,1.3838419145376495
0,A,0.05,6,3,0.9198460658883939
0,A,0.05,6,4,0.7256547976811152
0,A,0.05,6,5,1.0735039359601541
0,A,0.05,6,6,1.688288546803404
0,A,0.05,6,7,0.5513360018357598
0,A,0.05,6,8,0.9859845496189485
0,A,0.05,6,9,1.3869883874842424
0,A,0.05,7,0,0.29290500281912785
0,A,0.05,7,1,0.24686534802081192
0,A,0.05,7,2,0.35981978012756016
0,A,0.05,7,3,0.3134886333287432
0,A,0.05,7,4,0.16679235298166564
0,A,0.05,7,5,0.3689381327726537
0,A,0.05,7,6,0.2534425000773526
0,A,0.05,7,7,0.01730765143621677
0,A,0.05,7,8,0.32660900118789543
0,A,0.05,7,9,0.02607432858391531
0,A,0.05,8,0,0.17772343027863016
0,A,0.05,8,1,0.1971593381666826
0,A,0.05,8,2,0.5309196226376114
0,A,0.05,8,3,0.6639682752498975
0,A,0.05,8,4,0.3011521738168013
0,A,0.05,8,5,0.49792928044995205
0,A,0.05,8,6,-0.00047431417855468144
0,A,0.05,8,7,0.5629255677378369
0,A,0.05,8,8,0.38620334493627567
0,A,0.05,8,9,0.6432230618809781
0,A,0.05,9,0,-0.02836752187330407
0,A,0.05,9,1,-0.020692866767117468
0,A,0.05,9,2,-0.03270134938432836
0,A,0.05,9,3,-0.1096276107942219
0,A,0.05,9,4,-0.0901191714809406
0,A,0.05,9,5,-0.5680274076194733
0,A,0.05,9,6,-0.8502168502739118
0,A,0.05,9,7,-0.03192341593044057
0,A,0.05,9,8,-0.011082167836854175
0,A,0.05,9,9,-0.38292315581498043
0,B,100,0,0,0.6274536208749001
0,B,100,0,1,1.2598490381189524
0,B,100,0,2,1.02781208421111
0,B,100,0,3,0.8583977471757925
0,B,100,0,4,1.2992925471616552
0,B,100,0,5,0.9980630372791854
0,B,100,0,6,1.7531524359825492
0,B,100,0,7,1.5762620201971258
0,B,100,0,8,1.0122732689879146
0,B,100,0,9,1.4491583864958817
0,B,100,1,0,-0.9589115753697526
0,B,100,1,1,-0.984700825652491
0,B,100,1,2,-0.7739424337053269
0,B,100,1,3,-1.2424870210434649
0,B,100,1,4,-0.8575339061381794
0,B,100,1,5,-0.7986572594359417
0,B,100,1,6,-0.9426937309263237
0,B,100,1,7,-0.9076673496244608
0,B,100,1,8,-1.2545351661101523
0,B,100,1,9,-0.8775038073266084
0,B,100,2,0,1.0519579336684726
0,B,100,2,1,1.1100283072160493
0,B,100,2,2,1.3860451275528813
0,B,100,2,3,1.4049631561102947
0,B,100,2,4,1.3287588445921223
0,B,100,2,5,1.3265069242901455
0,B,100,2,6,1.6649178275739873
0,B,100,2,7,1.501967572853538
0,B,100,2,8,0.7232995981008877
0,B,100,2,9,1.4095869369474123
0,B,100,3,0,0.03808109438309062
0,B,100,3,1,-0.19823623025926107
0,B,100,3,2,-0.27653023745718636
0,B,100,3,3,0.12477857124811044
0,B,100,3,4,-0.11899448213593723
0,B,100,3,5,-0.5717643395440981
0,B,100,3,6,0.20744632658986065
0,B,100,3,7,0.10245147013963177
0,B,100,3,8,-0.48218642785625937
0,B,100,3,9,-0.21558872983771488
0,B,100,4,0,-2.2414409505279957
0,B,100,4,1,-1.6556621132479987
0,B,100,4,2,-1.8419001111499482
0,B,100,4,3,-3.1711802053785165
0,B,100,4,4,-1.5883586139415
0,B,100,4,5,-1.7556527091165417
0,B,100,4,6,-1.6688304143028454
0,B,100,4,7,-1.7370384659258173
0,B,100,4,8,-1.9290515156846602
0,B,100,4,9,-2.176972459428455
0,B,100,5,0,1.1777243628984364
0,B,100,5,1,1.6332487254033192
0,B,100,5,2,0.7591507928599468
0,B,100,5,3,1.1209625664608043
0,B,100,5,4,0.7297589332451042
0,B,100,5,5,0.8192973859378818
0,B,100,5,6,0.7117468609802632
0,B,100,5,7,0.829958466092697
0,B,100,5,8,2.447019146946963
0,B,100,5,9,2.4015684016966397
0,B,100,6,0,-0.7734688579553601
0,B,100,6,1,-1.644978474566346
0,B,100,6,2,-0.5554153400945094
0,B,100,6,3,-0.8551879459610454
0,B,100,6,4,-0.5167979333566924
0,B,100,6,5,-0.7219242205981025
0,B,100,6,6,-0.6291583539955683
0,B,100,6,7,-0.694313112442899
0,B,100,6,8,-0.5306449502732102
0,B,100,6,9,-0.28396453607694544
0,B,100,7,0,0.6690000401324456
0,B,100,7,1,0.8522898027185053
0,B,100,7,2,0.6232203792382105
0,B,100,7,3,0.7236007699127252
0,B,100,7,4,0.26878537798958835
0,B,100,7,5,0.84749569789441
0,B,100,7,6,0.8588910409785971
0,B,100,7,7,0.9970026213753225
0,B,100,7,8,0.8378934374938088
0,B,100,7,9,0.4856049543991149
0,B,100,8,0,-2.8320095301306796
0,B,100,8,1,-2.2426194685997527
0,B,100,8,2,-2.545669194455227
0,B,100,8,3,-2.5556830146517697
